sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Huenchumilla Jaramillo, Francisco",2021-06-04,30,Temuco,"Solicitar apoyo para el  proyecto ""ley Extraviados "" boletín 12.392. Actualmente proyecto se encuentra en la Comisión de Seguridad del Senado.","Palazzo Rojas, Paulina; Martinson Garcia, Annie Janne; Muñoz, Cecilia; gonzalez gonzalez, Eliana Mallen; Carvajal Rasse, ENRIQUE  OSVALDO",Enrique Osvaldo Carvajal Rasse
"Pizarro Soto, Jorge",2021-06-03,30,Vía Zoom,"Se plantea situación de presos de las revueltas, lentitud en el proceso y error en los registros.","Oyarzun, Carolina; Ulloa Gonzalez, Jorge Antonio; Torres Guerrero, Raquel; Rivas, Ruben; VERDUGO URRUTIA, MARIA VERONICA; Vidal, Ximena; Fuentes, Jaime",Agrupación de iniciativas por la liberación de los Presos de la Revuelta
"Pizarro Soto, Jorge",2021-06-03,30,Vía Zoom,Hacen descripción actual de la industria en Chile y proponen generar política sostenible ambientalmente a un largo plazo permitiendo que la industria crezca.,"Del Solar Agüero, Felipe; Clement, Arturo; Soto Alvarado, Raimundo Andrés; Goldenberg, Jorge",Asocacion de la Industria del Salmón de Chile AG
"Pizarro Soto, Jorge",2021-06-03,45,Vía Zoom,Se presenta proyecto indicado en solicitud,"Bartucevic Sánchez, Francisco Javier; Garcia-Huidobro, Cristobal",MINERA SALAR BLANCO S.A.
"Pizarro Soto, Jorge",2021-06-03,30,Vía Zoom,Audiencia no efectuada ya que no se presentaron a la reunión y tampoco respondieron correos.,"Mendoza Sepulveda, Karin Alejandra",Asociación Nacional de Empleados del Poder Judicial
"Pizarro Soto, Jorge",2021-06-03,30,Vía Zoom,Se plantea posición con respecto a PL del Royalty y beneficio de zonas mineras,"Hernández Núñez, SERGIO ENRIQUE",Sergio Hernández Núñez
"Ebensperger Orrego, Luz Eliana",2021-06-02,45,Oficina del  Congreso Nacional ValparaÃ­so,"Participaron en la reunión Paola Calorio, Directora de Asuntos Públicos de Coca-Cola Chile. Fernanda Ramos, Gerente de Comunicaciones y el Señor Miguel Flores, Socio Director de Azerta quienes expusieron los proyectos que están desarrollando en distintas regiones del país, particularmente en la región de Tarapacá. Se conversó también del cambio legislativo en materia del agua y algunos resultados de la mesa de agua.","Calorio, Paola; Piffre, Oriana; Ramos, Fernanda",Coca-Cola de Chile S.A.
"Galilea Vial, Rodrigo",2021-05-27,20,Vía Telemática ZOOM,"Presentación tobillera electrónica. A través de plataforma ZOOM, se reune con  Asesor Legislativo del Senador Rodrigo Galilea Vial, el abogado Benjamín Lagos Cárdenas","Karahanian, elizabeth",TRACK GROUP CHILE SPA
"Araya Guerrero, Pedro",2021-05-26,60,zoom,materia,"figueroa, rossana figueroa; Díaz, Carlo; Aguilera, Elizabeth; Valdivieso, Nicolás; reyes vergara, rene claudio; Barria Figueroa, Jeanette",arrendadores unidos oficial
"De Smet d Olbecke Casanova, Pascal",2021-05-26,45,Video Conferencia,Revisión de articulado y aspectos técnicos del proyecto de ley Boletín 5254-02.,"Laurido Díaz, Javier; Cerda Lecaros, Pedro Pablo",Pedro Pablo Cerda Lecaros
"Pizarro Soto, Jorge",2021-05-26,30,Vía Zoom,Se presenta postura frente a la implementación de Ley de Servicios Básicos.,"charme, Camilo",Generadoras de Chile AG
"Coloma Correa, Juan Antonio",2021-05-18,15,Medios telemáticos Zoom,"Exponer precisiones que buscamos incorporar al PL que ""Crea una nueva institucionalidad del sistema estadístico nacional"", boletín N° 10372-03","González Barriga, Marcelo Alejandro",ASOC NACIONAL DE FUNCIONARIOS DE ESTADISTICA Y CENSOS
"Allende Bussi, Isabel",2021-05-18,45,Videollamada,Se escucha opinión de la estatal por  proyecto de ley sobre protección de Glaciares,"Recart Apfelbeck, Gonzalo Armando; Fernández Bravo, Renato; Sanhueza Urzúa, Jorge",Codelco
"Pugh Olavarría, Kenneth",2021-05-18,45,Video conferencia,"Saludo protocolar, presentación de actividades pesqueras del sector macro zonal del norte y fallo de la corte suprema sobre perforaciones.","GOMEZ BARRERA, MARCOS ; ESCOBAR, MIGUEL ANGEL; Sandoval Precht, Felipe; Garcia Holtz, Ricardo",ASOCIACIÓN INDUSTRIAL DE PESCA DEL NORTE
"Pugh Olavarría, Kenneth",2021-05-12,45,Video conferencia,Saludo protocolar y presentación de la Fundación y sus actividades.,"Retamal, Monica",Fundación para la inclusión tecnológica KODEA
"Pugh Olavarría, Kenneth",2021-05-12,45,Video conferencia,Saludo protocolar y presentación de actividades de VU Security-Pragma,"Kohnenkamp Astudillo, Evelyn Karin; Guerra, Raul; Williams, Ricardo",Pragma Informpatica
"Allende Bussi, Isabel",2021-05-11,60,Videollamada,Acerca de la agenda LGBTI y matrimonio igualitario. Se analizaran las formas de ver su tramitación.,"Amor, Isabel",Fundación Iguales
"Ossandón Irarrázabal, Manuel José",2021-05-11,30,POR ZOOM,REGISTRO DE LICENCIAS DE CONDUCTORES PROFESIONALES,"Dubo Tapia, Luis Alberto",Luis Alberto Dubo Tapia
"Rincón González, Ximena",2021-05-10,60,Zoom,Abordar el futuro de la tramitación de la reforma de pensiones,"Cox, Alejandra; LARRAÍN ANINAT, FERNANDO",Asociacion AFP
"Allende Bussi, Isabel",2021-05-06,90,Videollamada,"Reunión que contó con la asistencia de Senadora, Diputadas y organizaciones. 
Tiene por objeto elaborar una estrategia en conjunto, tanto legislativa como política en torno a la extensión del post natal.","Iturry, Andrea; Maturana, Camila; Lara, Marcia; Cotal Neira, Maria",Vocera Movimiento Post Natal de Emergencia
"Pugh Olavarría, Kenneth",2021-05-06,45,Video conferencia,Saludo Protocolar y presentación de iniciativa de uso de residuos para protección ambiental,"Brown, Alex",Envirolift SPA
"Pugh Olavarría, Kenneth",2021-05-05,45,Valparaiso,Saludo Protocolar y presentación de iniciativas de desarrollo digital regional.,"Ordoñez, Claudio; Igor, Christian; Goldstein, Nicolas; Ovalle, Francisco",Accenture Chile Asesorías y Servicios Ltda
"Araya Guerrero, Pedro",2021-05-03,45,Video Conferencia,Presentación de la compañía y ley de servicios básicos,"Urzúa, Pedro; Tavera, Victor",VENTA AL POR MAYOR DE OTROS PRODUCTOS; SERVICIOS DE ALMACENAMIENTO Y DEPOSITO; SOCIEDADES DE INVERSION Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERAL; OTRAS ACTIVIDADES EMPRESARIALES; ACTIVIDADES DE CLUBES DE DEPORTES Y ESTADIOS
"Lagos Weber, Ricardo",2021-05-03,45,Videoconferencia,Ley de donaciones,"Grez, Ignacio; Solis Germani, Francisco; Jarpa, María Carolina; Peralta, Roberto",ONG PEW
"Pizarro Soto, Jorge",2021-05-03,30,Vía Zoom,Se plantea posición frente a PL en discusión sobe pesca para las macrozonas,"Sandoval Precht, Felipe",ASOCIACIÓN INDUSTRIAL DE PESCA DEL NORTE
"Pizarro Soto, Jorge",2021-04-29,30,Vía Zoom,Se refieren a ley de quiebras y el reinicio de actividades económicas en la situación actual del país,"Ortiz Tello, Raul Claudio; Vega Vergara, Javier",Asoc. Gremial de la Industria del Retail Financiero A.G.
"Pizarro Soto, Jorge",2021-04-29,30,Vía Zoom,Presenta su posición en relación a Proyecto que se refiere al corte de suministros básicos,"Pfeffer Urquiaga, German Jose",Intergas S.A.
"Pugh Olavarría, Kenneth",2021-04-29,45,Video conferencia,"Saludo protocolar, presentación de equipo de trabajo y exposición de materias de turismo oceánico y mejoramiento de caletas.","Bazan, Javier; Koberg, Fabian; Fuentes, Carla; Jofré, Rodrigo; Flaño, Catalina",Servicios Nauticos y turisticos SpA
"Provoste Campillay, Yasna",2021-04-26,60,Zoom,Reunión protocolar entre la directiva del Colegio de Profesores y la Presidenta del Senado,"Díaz Marchant, Carlos",Colegio Profesores de Chile A.G
"Huenchumilla Jaramillo, Francisco",2021-04-23,30,Temuco,solicitan apoyo para intervención con entes Ministeriales por conflicto con sostenedor del Liceo Camilo Henríquez,"Lopez Flores, Eugenio; Clein Jimenez, Fernando",sindicato de trabajadores
"Huenchumilla Jaramillo, Francisco",2021-04-23,30,Temuco,solicitan apoyo para intervención con entes Ministeriales por conflicto con sostenedor del Liceo Camilo Henríquez,"Lopez Flores, Eugenio; Clein Jimenez, Fernando",sindicato de trabajadores
"Huenchumilla Jaramillo, Francisco",2021-04-23,30,Temuco,solicitan apoyo para intervención con entes Ministeriales por conflicto con sostenedor del Liceo Camilo Henríquez,"Clein Jimenez, Fernando; Lopez Flores, Eugenio",sindicato de trabajadores
"Quinteros Lara, Rabindranath",2021-04-23,20,Oficina parlamentaria Puerto Montt,Exponen sobre su visión del proyecto que establece normas contra la resistencia a los antimicrobianos.,"Guerrero, Pedro; KEMP, SANDRA; LASO, LUIS FERNANDO; Castañon, Rodrigo",Asociación de Exportadores de Carnes A.G.
"Huenchumilla Jaramillo, Francisco",2021-04-22,30,Temuco,Gestiones para aumentar plazos para presentar declaraciones juradas y declaración de renta año 2021,"NEIRA SALINAS, MERARI",COLEGIO DE CONTADORES DE CHILE A.G.
"Pizarro Soto, Jorge",2021-04-20,30,Vía Zoom,Presentan situación actual del sector frente a la pandemia y posibles soluciones que han tratado de platear en distintas instancias,"Castañon, Rodrigo; KEMP, SANDRA; Guerrero, Pedro; LASO, LUIS FERNANDO",Asociación de Exportadores de Carnes A.G.
"Pizarro Soto, Jorge",2021-04-20,45,Vía Zoom,Se plantea postura frente a PL de servicios básicos,"Moreno Guzmán, Juan Pablo; Lopez, Jessica",Asociación Gremial
"Pizarro Soto, Jorge",2021-04-19,45,Vía Zoom,Se plantea situación de PYMES en Chile frente a la pandemia y acciones impulsadas por el gobierno que no benefician a gran parte de éstos.,"Berazaluce Maturana, Pablo; Rivas Cantillana, Marcos; Valverde Norambuena, Paula; Silva Sepúlveda, Tomás",Asociación de Emprendedores de Chile A.G.
"Quinteros Lara, Rabindranath",2021-04-19,20,Oficina parlamentaria Puerto Montt,Propuesta de medición de CO2 para prevenir contagios de Covid.,"Jottar, Sofia; Rojas, Horacio; Swett, Tomas; Huete, Carlos; Naranjo, Cristina; Brevis, Wernher",ASEVECH Asociación de eventos de Chile
"Ossandón Irarrázabal, Manuel José",2021-04-19,60,CADA UNO EN SUS OFICINAS,ENDOSO Y RETRACTO PASAJES AÉREOS,"TOHA, JUAN JOSÉ; DOUGNAC, JOSÉ IGNACIO","Asociación Chilena de Líneas Aéreas, A.G."
"Huenchumilla Jaramillo, Francisco",2021-04-16,30,Temuco,Solicitan apoyo para pertenecer al código sanitario y acceder a los beneficios.,"Apaoblaza Augsburger, Sofia Andrea; Ubilla Carvajal, María José","Colegio Medico Veterinario, Consejo regional de la Araucanía"
"Pugh Olavarría, Kenneth",2021-04-16,40,Video conferencia,Saludo Protocolar y presentación de Vulnscope en materia de Ciberseguridad.,"Correa Silva, Francisco",
"Allende Bussi, Isabel",2021-04-13,60,Videollamada,"Se escucha detalles sobre el plan de descontaminación de la ciudad de Calama por parte de la empresa y la posición de la misma frente al proyecto de Ley que sobre Glaciares.
Se acuerda solicitar recibir a la estatal en la comisión de minería del Senado para que pueda exponer sobre el plan de descontaminación señalado, a efectos que la ciudadanía pueda conocer los alcances del mismo.","Sanhueza Urzúa, Jorge; Fernández Bravo, Renato; Recart Apfelbeck, Gonzalo Armando",Codelco
"Provoste Campillay, Yasna",2021-04-10,60,Zoom,Ley de Protección de Glaciares,"San Juan Standen, Constanza; Vega, Stefanía; Martínez, Nikol; Martínez Leiva, Maria Jesus; Galaz, Katy",Coordinación de Territorios por la defensa de los glaciares
"Araya Guerrero, Pedro",2021-04-09,60,Video Conferencia,"Plantearon Observaciones a la Ley de Sociedades Anónimas Deportivas.  Acompañaron al Senador don Pedro Lezaeta, Periodista y don Roberto Godoy, Asesor.","Valladares, Edmundo; Sanhueza De la Cruz, José Miguel; Franjola, Ignacio",Club Social y Deportivo Colo-Colo
"Huenchumilla Jaramillo, Francisco",2021-04-09,30,Temuco,Dar a conocer el Plan de descontaminación del Lago Villarrica.,"López, Ricardo; Ramirez Moraga, Esteban Francisco",Asocacion de la Industria del Salmón de Chile AG
"Coloma Correa, Juan Antonio",2021-04-08,25,"Video Conferencia con asesora legislativa del Senador, Sra. Carolina Infante",PROYECTO DE LEY DE ADOPCIÓN BOLETÍN 9119-18,"Farrugia Fletcher, Kevan John",UNIENDO FAMILIA
"Ebensperger Orrego, Luz Eliana",2021-04-08,30,Vía zoom,"Un grupo de emprendedores que tiene un hotel en Playa Brava,  quieren arrendarlo como residencia sanitaria a Seremía de Salud y han tenido problemas, por que hay resistencia de parte de los vecinos y creen que ellos han influenciado par que no se lo arrienden.","González Sepúlveda, Mario Alberto; Cofré Reyes, Jun Carlos; Céspedes Muñoiz, Carlos",Asociación Gastronómica de Tarapacá AG
"Pizarro Soto, Jorge",2021-04-07,30,Vía Zoom,"Distintos gremios del área, plantean situación que tienen con nuevas normas establecidas","enero segovia , Rodrigo fernando",sindicato STI de fundacion integra
"Pizarro Soto, Jorge",2021-04-07,30,Vía Zoom,SE PLANTEA LO INDICADO NE MATERIA DE LA SOLICITUD,"enero segovia , Rodrigo fernando",sindicato STI de fundacion integra
"Coloma Correa, Juan Antonio",2021-03-31,20,VIDEO CONFERENCIA,"Ley de donaciones.
Respuesta formal por parte del gobierno al proyecto de acuerdo enviado por la comisión de hacienda y votado en sala solicitando envío de proyecto de ley que modifique la normativa de donaciones en favor de las organizaciones de la sociedad civil","Jouanne Langlois, Ana Luisa; Grez, Ignacio; Peralta, Roberto; Edwards, Magdalena; Jarpa, María Carolina",Mesa Circular
"Coloma Correa, Juan Antonio",2021-03-31,20,VIA ZOOM,Exponer puntos de vista del sector forestal respecto del proyecto que incorpora todos los proyectos forestales al SEIA.,"Soto Alvarado, Raimundo Andrés; Ugarte, Juan José; Del Solar Agüero, Felipe; Mella Guzmán, María Jesús; Goldenberg, Jorge",CORPORACION CHILENA DE LA MADERA
"Pugh Olavarría, Kenneth",2021-03-31,45,Video conferencia,Saludo protocolar y exposición de problemáticas de la actividad pesquera en la región de Aysén.,"Gillmore, Edward",FRIGORIFICO FIORDOSUR SA
"Coloma Correa, Juan Antonio",2021-03-30,20,VIA ZOOM,Presentación de nueva presidenta de la Asociación AFP A.G.,"Wildner Zambra, Catalina; Cox, Alejandra",Asociación de Administradoras de Fondos de Pensiones
"Pizarro Soto, Jorge",2021-03-29,45,Vía Zoom,Se presenta nueva Presidenta de Asociación de AFP y se conversa en relación a PL reforma de pensiones,"Wildner Zambra, Catalina; Cox, Alejandra",Asociación de Administradoras de Fondos de Pensiones
"Allende Bussi, Isabel",2021-03-26,60,VIDEO CONFERENCIA,"Se escucha la posición de los distintos gremios de salud de la región sobre el proyecto que busca modernizar FONASA. Se acuerda hacer gestiones para que puedan reunirse con el Senador Rabindranath Quinteros Presidente de la comisión de Salud del senado, y en la medida que el proyecto, y su tramitación así lo permita hacer gestiones para que puedan exponer en esta comisión del Senado.","MUÑOZ, PAOLA; LOBOS, ROBERTO; SAHARREA, IRACHE; RIVERA VALDES, RENATO; SEPULVEDA, PATRICIA; ALVAREZ, FRANCISCO; Jarufe Núñez, Susana",RENATO RIVERA VALDES
"Pizarro Soto, Jorge",2021-03-26,45,Vía Zoom,Se plantea situación en que quedan funcionarios no sólo a nivel regional con nuevo PL,"Dinamarca Pacheco, Marcos Antonio; Droguett Navarrete, Sergio Ivan",Asociación de Funcionarios
"Quinteros Lara, Rabindranath",2021-03-25,20,Oficina parlamentaria Puerto Montt,Entrega de opinión sobre diversos temas regulatorios.,"Silva, Gonzalo; Valenzuela, Hernán; Flores, Miguel; Davidovich, Joanna; Cortes, Mónica",Consejo del Salmón AG
"Quinteros Lara, Rabindranath",2021-03-25,20,Oficina parlamentaria,Propuestas Fenasenf sobre gestión Covid,"ESPINOZA, JOSE LUIS; ARAYA, LINA; diaz, gloria; MIRANDA, MAGALY; solis gomez, omar",FENASENF
"Pugh Olavarría, Kenneth",2021-03-25,45,Video conferencia,-Saludo protocolar y presentación del Consejo. Comentarios a proyectos de ley radicados en la Comisión de Pesca del Senado.,"Valenzuela, Hernán; Davidovich, Joanna; Cortes, Mónica; Silva, Gonzalo",Consejo del Salmón AG
"Rincón González, Ximena",2021-03-24,40,Zoom,Informar sobre el regimen legal aplicable a las cooperativas,"Astudillo, Matías; Alt Hayal, Marcela; Silva, Rodrigo ; Lagos Baquedano, Pedro Pablo",AG
"Ebensperger Orrego, Luz Eliana",2021-03-23,40,Oficina del  Congreso Nacional Valparaíso,"El señor Covarrubias solicita dar a conocer la fundación Pro Acogida y Pro Bono, entregan su visión y trabajo. Solicitan revisar y dar mayor prioridad a familias de acogida en proyecto de ley de Adopción.","Covarrubias, Francisco; Fischer Pérez, Déborah Paz",ProAcogida
"Pugh Olavarría, Kenneth",2021-03-22,45,Video conferencia,"Actividades de la empresa en el ámbito hospitalario, describiendo problemas desafíos y soluciones desde la
Informática y la importancia de la estandarización de la información y la necesidad de avanzar hacia la interoperabilidad","Araya González, Luis Francisco; Carvajal Jorquera, Rodrigo Alexis; Araya González, Jaime Andrés",Sistemas Expertos e Ingeniería de Software Ltda.
"Pizarro Soto, Jorge",2021-03-18,45,Vía Zoom,"Se presentó situación de PL que están en el Congreso, que dicen relación al sector. También se solicita apoyo para tener respuesta de otras solicitudes de audiencia con otros Senadores de la Comisión.","Soto Alvarado, Raimundo Andrés; Del Solar Agüero, Felipe; Goldenberg, Jorge; Mella Guzmán, María Jesús; Ugarte, Juan José",CORPORACION CHILENA DE LA MADERA
"Pugh Olavarría, Kenneth",2021-03-16,30,Video conferencia,"Saludo Protocolar y presentación de Complez Biz, herramienta de ciberseguridad.","COUYOUMDJIAN, HERNAN",COMPLEXBIZ GESTIÓN DE NEGOCIOS SPA
"Coloma Correa, Juan Antonio",2021-03-09,15,"Oficina Senado Valparai­so, piso 11",Presentación FEMSA Salud Chile y entrega de estudio sobre la estructura de precios de los medicamentos.,"Rojas, Sergio; Belaunde, Daniel",SOCOFAR
"Ebensperger Orrego, Luz Eliana",2021-03-09,30,Oficina del  Congreso Nacional ValparaÃ­so,"Presentación de la división de salud de FEMSA en Chile, entrega de informe de estructura de los precios en la industria farmacéutica, cómo afectaría la regulación de precios de los medicamentos y su posición en la materia.","Rojas, Sergio; Belaunde, Daniel",SOCOFAR
"Galilea Vial, Rodrigo",2021-03-03,30,Video Conferencia ZOOM,"Entregar antecedentes y nuevos argumentos con el fin de mejorar el proyecto de ley de Garantías Mínimas para Trabajadores de Plataformas Digitales a través de nuevas indicaciones al proyecto. Fueron recibidos a través de la Plataforma ZOOM, por el Asesor Legislativo del Senador, abogado Sr. Benjamín Lagos Cárdenas","Söffge, Christian; Simonsohn, Felipe",DIDI MOBILITY CHILE SPA
"Pizarro Soto, Jorge",2021-03-01,45,Vía Zoom,Se dio información en relación a PL de acuerdo de Madrid.,"bresky, maria",instituto nacional de propiedad industrial
"Galilea Vial, Rodrigo",2021-02-17,30,Plataforma ZOOM,Proyecto de Ley Pesca arrastre merluza,"Schlack, Felipe",PacificBlu Spa
"Ebensperger Orrego, Luz Eliana",2021-02-05,60,Iquique,"Asistentes: Presencial Senadora y vía Zoom Miguel Angel Escobar-Asipnor  Luis Coevas - CCHC IQUIQUE, Jorge Pantoja CCHC IQUIQUE, Leopoldo Bailac - ASOC IND IQUIQUE, Marcos Gómez - ASOC IND IQUIQUE, Christian Barrera  CCHC IQUIQUE, Max  Barrera AUZ.   
Hicieron presentación sobre su preocupación sobre la necesidad de modificar el Pri; creen que de aprobarse como está actualmente producirá un daño a la actividad pesquera, comercial, industrial y de la construcción .  Señalaron además, que es necesario que dicho instrumento sea concordante con el plan regulador de Iquique que está en desarrollo hoy en día.","Bailac Arriagada, Leopoldo; COEVAS ARAYA, LUIS",Cámara Chilena de la Construcción
"Rincón González, Ximena",2021-01-27,60,Zoom,Presentar sus conclusiones respecto al informe realizado por la fundación,"Soto Muñoz, Elizabeth; Ramírez Rueda, Hernán; Liberona, Flavia",Fundación para la promoción del Desarrollo Sustentable
"Coloma Correa, Juan Antonio",2021-01-26,15,CONTACTO TELEFONICO,Compartir información y observaciones sobre el proyecto de ley de agentes de mercado.,"Del Solar Agüero, Felipe",BNP Paribas Cardif Seguros Generales S.A.
"Lagos Weber, Ricardo",2021-01-22,45,Videoconferencia. Favor remitir link a rlagos@senadoc,Recibir audiencia de CPP investment,"Szlejf, Ricardo; Lawrence, Scott; Ergas, Alfredo; Madera, Ariel; Hartpence, Mathias; Spielmann, Rodolfo",Canada Pension Plan Investment Board
"Coloma Correa, Juan Antonio",2021-01-22,25,"Oficina Regional de Talca, 1 Norte 1077 oficina 701","Tiene por finalidad conversar sobre los alcances del proyecto de ley de autonomía de la Defensoría Penal Pública, que es parte de la carpeta de proyectos próximos a ingresar al Congreso por parte del Ministerio de Justicia y Derechos Humanos.","Craig, José Luis",Jose Luis Craig
"Pizarro Soto, Jorge",2021-01-21,30,Vía Zoom,Se presenta situación de tiendas solidarias y se solicita apoyo en modificación de Ley de donaciones,"Rojas Goldsack, Jorge Francisco; Juppet, Fernanda; Pereira Jadue, Carlos; Rojas Zegers, Jorge Francisco",Corporación de Ayuda al niño quemado
"Pizarro Soto, Jorge",2021-01-21,45,Vía Zoom,Presentan trabajo que está realizando Transbank actualmente,"Del Solar Agüero, Felipe; Martínez González, David Sebastián; Lisboa Gutiérrez, José Tomás; Tocornal Cooper, Josefina; Santelices Abarzua, Patricio; Blumel Araya, Ricardo",Transbank S.A.
"Pizarro Soto, Jorge",2021-01-21,30,Vía Zoom,presentación de inquietudes y opiniones de PL 19.628,"Toledo, Javiera; Concha, Francisco; González, Karina",CLARO CHILE S.A.
"Angelbeck Silva, Robert Patrick",2021-01-21,30,Zoom,Presentación de indicación al Proyecto de Ley para implementar adecuadamente el proceso de descentralización del país (Boletín Nº 13823-06),"Nuñez Rivera, Luz Magaly; Fuentes, Mauricio; AGUIRRE, NAYADE LUISA; Pellegrini Tapia, jorge; CANDIA SANDOVAL, JAIME",FEDERACIÓN NACIONAL DE FUNCIONARIOS DE LOS GOBIERNOS REGIONALES
"Provoste Campillay, Yasna",2021-01-19,60,Zoom,Proyecto de Protección de Glaciares,"Araya, Constanza; Martínez Leiva, Maria Jesus; Molina, Marianela; San Juan Standen, Constanza; Galaz, Katy; Martínez, Nikol; Pinto, Ignacio; Pedreros, Gabriela",Coordinación de Territorios por la defensa de los glaciares
